SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
COC1=C(C=CC(=C1)B(O)O)C#N,177.059723516,-9.0034,-0.0531,4.52825,4.475149999999999,0.2234561969989833,0.021512,-0.059025,6.0,-0.060649,-615.09788898565,5.18268,45.834,-0.06276867,-0.00013134,-0.0878163291,-0.00515942,-0.614039,-0.128579,22.728342225142846,1.5682645207256405
CC1=CC(=CC(C)=C1F)B(O)O,168.07578818,-8.9922,1.1502,3.9210000000000003,5.0712,0.19719198611768418,0.042214,-0.079584,6.0,-0.08634,-586.216218337233,1.22397,59.29,-0.08846627,-0.12071261,-0.18425349,-0.02974052,-0.645998,-0.172135,22.622809997438267,1.5617899154054842
CC1=CC(OCC2=CC=CC=C2)=CC(C)=C1B(O)O,256.127074804,-8.0559,1.5917,3.2321,4.823799999999999,0.20730544384095528,-0.124398,-0.027336,6.0,-0.098272,-832.550288875566,2.59856,60.827,-0.09964696,0.04907041,-0.541801866,-0.03651739,-0.661323,-0.195428,30.86253800830892,1.5654483642034906
OB(O)C1=CC(=NC=C1)C1CC1,163.08045896,-8.662,0.7551,3.9534500000000006,4.708550000000001,0.21237960731010605,-0.044893,-0.05916,6.0,-0.059143,-541.066838212952,4.27735,45.163,-0.06261737,-0.10841071,0.2028439428,-0.00126878,-0.636025,-0.120927,22.53140906407672,1.564215971415257
OB(O)C1=C(Br)C=CC=C1Br,277.87493400000005,-9.0376,1.1448,3.9463999999999997,5.0912,0.1964173475801383,0.132562,-0.060009,6.0,-0.065063,-5555.536661264338,1.12712,40.346,-0.07165193,-0.09219529,0.3890283599,-0.01097923,-0.493477,-0.140193,31.580519140594543,1.5821749000447396
CC(C)COC1=C(C=CC=C1)B(O)O,194.11142474,-8.766,0.9575,3.90425,4.86175,0.20568725253252432,-0.105436,-0.055119,6.0,-0.090488,-640.811565737896,4.90225,64.41,-0.09355846,-0.07037428,-0.4268876829,-0.03429741,-0.605026,-0.203639,25.96413018054643,1.5833087575259777
COC1=CC=CC(B(O)O)=C1C,166.080124612,-8.2871,1.4218,3.43265,4.85445,0.20599655985745038,0.055687,-0.046241,6.0,-0.077763,-562.169385380646,2.07336,47.742,-0.0791978,0.07132732,-0.24655233,-0.01977752,-0.647035,-0.160358,26.24689529198178,1.5691591134486247
OB(O)C1=CC(Cl)=CC=C1Br,233.92544958,-9.2269,0.3848,4.42105,4.80585,0.20807973615489453,-0.00309,-0.0661,6.0,-0.066267,-3441.542281826444,1.30633,51.145,-0.07088336,-0.09116458,-0.0833463314,-0.01317651,-0.560761,-0.155334,25.83075303788022,1.5825385073197824
OB(O)C1=CC(C(F)F)=C(F)C=C1,190.041294492,-9.469,0.9179,4.27555,5.1934499999999995,0.19255023154165346,-0.051184,-0.070628,6.0,-0.077967,-745.408165853877,4.43217,57.465,-0.08031972,-0.12420022,-0.1481161714,-0.02036628,-0.631516,-0.163962,22.659774122049832,1.5602408292930767
OB(O)C1=CC(Br)=CS1,205.920842868,-9.0265,0.4901,4.2682,4.7583,0.2101590904314566,-0.089473,-0.278192,6.0,-0.084475,-3302.702224541309,1.92533,44.526,-0.09498472,-0.11742943,-0.3589474915,-0.01763083,-0.800742,-0.291199,21.78015325841195,1.5517606522750302
