SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
COC1=NC=C(F)C=C1B(O)O,171.050301704,-9.1482,0.2359,4.456149999999999,4.69205,0.21312645858420093,-0.05972,-0.054279,6.0,-0.083309,-638.157777159552,2.80807,71.829,-0.08796716,-0.10654867,-0.7288421904,-0.02315748,-0.56873,-0.211109,24.04213492531994,1.584773899378083
OB(O)C1=CN=C(OCC2=CC=CC=C2)C=C1,229.091023644,-8.7942,1.2111,3.79155,5.00265,0.19989405615024036,-0.010056,-0.099476,6.0,-0.098931,-769.970300809318,1.0105,69.103,-0.10359288,-0.13215085,-0.5013935813,-0.03896444,-0.657549,-0.221105,22.40429702727688,1.5582385953620228
COC1=C(O)C=C(C=C1)B(O)O,168.059389168,-8.3619,1.3393,3.5113000000000003,4.8506,0.20616006267265904,0.105324,-0.08938,6.0,-0.087834,-598.08654347967,5.6481,55.069,-0.08978346,0.02743743,-0.352999291,-0.03315995,-0.640082,-0.179765,22.593155163004134,1.5686638237662325
OB(O)C1=C(Cl)C(F)=CC=C1,174.0055157,-9.4224,0.4882,4.467099999999999,4.9553,0.20180412891247754,-0.036771,-0.067495,6.0,-0.069208,-967.18144498769,1.43332,52.887,-0.07317764,-0.10383528,-0.0816509878,-0.01404908,-0.567918,-0.157366,25.348618335319607,1.5802067689124866
CC(C)OC1=C(F)C=C(C=C1)B(O)O,198.086352864,-8.9317,1.0056,3.9630499999999995,4.968649999999999,0.20126191218942774,0.110702,-0.084673,6.0,-0.083986,-700.74532690089,3.42854,53.759,-0.08592279,-0.10012133,-0.3253892543,-0.02950999,-0.630572,-0.179015,22.534054330998075,1.5701282443778546
COC1=C(C=C(F)C(F)=C1)B(O)O,188.045630924,-8.9704,0.6598,4.1552999999999995,4.8151,0.2076800066457602,-0.041675,-0.053028,6.0,-0.089881,-721.360824305773,3.61012,68.928,-0.0920869,-0.11977036,-0.4777030534,-0.03223889,-0.574353,-0.201881,24.330677856609825,1.5831500907900278
COC1=C(C=C(C=C1)B(O)O)C(O)=O,196.054303788,-9.3994,0.1413,4.62905,4.77035,0.2096282243441257,0.113707,-0.083965,6.0,-0.084757,-711.45149394303,7.98356,56.626,-0.08709421,0.02053558,-0.3763306731,-0.031166,-0.625606,-0.189598,22.497368655536125,1.5728332446336908
CC(C)COC1=CC(=CC(F)=C1)B(O)O,212.102002928,-8.7662,0.9359,3.9151499999999997,4.85105,0.20614093855969326,0.180358,-0.07256,6.0,-0.068458,-740.06627060727,4.20481,42.874,-0.0699562,0.06381045,-0.1769397256,-0.01394353,-0.61757,-0.146682,22.678360602786718,1.5743353944827316
CCCCCCCCCCCCC1=CC=C(C=C1)B(O)O,290.241710632,-9.0709,1.0154,4.02775,5.04315,0.19828876793274045,-0.019749,-0.084249,6.0,-0.079173,-880.135875397161,1.64659,56.8,-0.08115407,-0.10702351,-0.1842925725,-0.02346182,-0.655128,-0.168995,36.63659879932727,1.5617165090956244
COC(=O)CC1=CC=C(C=C1)B(O)O,194.075039232,-9.3543,0.8139,4.2702,5.0841,0.1966916465057729,0.070558,-0.080415,6.0,-0.079535,-675.535159458741,3.53241,49.563,-0.0819693,-0.00208856,-0.3806108012,-0.02623522,-0.646161,-0.173928,22.568790862412705,1.5720218796153453
OB(O)C1=C(F)C(F)=CC(F)=C1F,194.016222616,-9.4432,0.2963,4.573449999999999,4.86975,0.20534935058267878,-0.200832,-0.024859,6.0,-0.086875,-805.32939986027,1.18068,73.486,-0.08883475,0.0974108,-0.4951157242,-0.0236531,-0.523986,-0.215401,25.21085561854694,1.5846433987090867
COC1=CC(Cl)=CC(=C1)B(O)O,186.025502196,-8.8791,0.7865,4.0463,4.8328,0.20691938420791262,0.165863,-0.072536,6.0,-0.068069,-982.461331733716,3.93389,43.842,-0.07005995,0.10133312,-0.2079041369,-0.01429823,-0.615186,-0.150318,22.683094238330195,1.5752638683348117
CN1N=C(C)C(B(O)O)=C1C,154.091357992,-8.8432,2.2186,3.3122999999999996,5.5309,0.18080240105588602,-0.170601,-0.085812,6.0,-0.141036,-520.245360491541,1.33835,80.567,-0.14898017,-0.17093082,-0.8400865713,-0.06614624,-0.70016,-0.280931,25.708792310348283,1.5434429270521421
